Date,Open,High,Low,Close,Adj Close,Volume
2017-07-01,28.250000,29.799999,25.424999,27.700001,27.700001,2236473
2017-08-01,28.200001,30.790001,26.540001,30.100000,30.100000,1119287
2017-09-01,30.299999,37.000000,29.834999,33.500000,33.500000,1266841
2017-10-01,33.779999,38.395000,32.290001,36.634998,36.634998,937821
2017-11-01,37.485001,39.750000,36.325001,38.900002,38.900002,1097242
2017-12-01,39.375000,39.950001,32.220001,33.000000,33.000000,4389578
2018-01-01,33.000000,35.320000,31.400000,34.560001,34.560001,5801286
2018-02-01,34.840000,36.680000,30.400000,36.000000,36.000000,5384916
2018-03-01,35.880001,40.459999,35.299999,39.299999,39.299999,8319206
2018-04-01,39.299999,41.200001,37.279999,39.599998,39.599998,5644160
2018-05-01,39.599998,40.959999,37.779999,39.320000,39.320000,16054415
2018-06-01,38.720001,46.000000,38.720001,45.580002,45.580002,11851069
2018-07-01,45.480000,52.349998,45.299999,48.580002,48.580002,7538294
2018-08-01,48.619999,49.880001,44.480000,47.459999,47.459999,7985225
2018-09-01,47.500000,47.680000,41.160000,41.419998,41.419998,7242977
2018-10-01,41.220001,41.860001,32.840000,35.639999,35.639999,8848554
2018-11-01,35.380001,39.639999,30.240000,32.139999,32.139999,7799862
2018-12-01,33.380001,34.599998,27.480000,32.500000,32.500000,6852785
2019-01-01,32.500000,34.000000,29.000000,32.200001,32.200001,7050238
2019-02-01,32.299999,36.939999,31.260000,34.080002,34.080002,6907445
2019-03-01,34.299999,35.900002,31.500000,32.200001,32.200001,6714007
2019-04-01,32.490002,41.279999,32.369999,41.090000,41.090000,9315017
2019-05-01,41.090000,43.000000,37.639999,38.549999,38.549999,10181834
2019-06-01,38.450001,43.279999,36.889999,39.889999,39.889999,8093269
2019-07-01,40.430000,44.340000,38.450001,43.580002,43.580002,8828979
2019-08-01,43.799999,47.049999,41.759998,45.959999,45.959999,8322155
2019-09-01,46.200001,48.790001,40.509998,40.759998,40.759998,7720201
2019-10-01,40.740002,46.000000,38.590000,42.029999,42.029999,9270326
2019-11-01,41.730000,48.520000,40.470001,48.000000,48.000000,7118671
2019-12-01,47.790001,71.720001,47.509998,70.559998,70.559998,10678792
2020-01-01,70.559998,72.180000,64.580002,69.620003,69.620003,10597357
2020-02-01,69.720001,81.620003,64.500000,68.000000,68.000000,11185012
2020-03-01,72.000000,73.260002,50.180000,67.959999,67.959999,16883690
2020-04-01,66.599998,81.620003,58.540001,77.000000,77.000000,8602825
2020-05-01,77.000000,91.980003,75.040001,86.180000,86.180000,10420653
2020-06-01,86.180000,96.220001,82.080002,90.959999,90.959999,10155901
2020-07-01,93.000000,106.199997,89.199997,97.760002,97.760002,11155145
2020-08-01,98.500000,105.000000,86.000000,90.019997,90.019997,13195088
2020-09-01,91.339996,99.699997,85.239998,98.120003,98.120003,11812518
2020-10-01,98.260002,104.849998,90.599998,98.779999,98.779999,11623884
2020-11-01,98.500000,116.650002,91.000000,101.250000,101.250000,20451033
2020-12-01,101.800003,132.100006,97.379997,127.000000,127.000000,12074860
2021-01-01,127.000000,145.399994,121.400002,125.500000,125.500000,15069678
2021-02-01,126.500000,134.449997,104.800003,105.699997,105.699997,11765421
2021-03-01,107.500000,113.650002,100.050003,110.500000,110.500000,18994357
2021-04-01,113.750000,141.949997,111.849998,132.050003,132.050003,11840909
2021-05-01,131.949997,133.100006,101.300003,112.500000,112.500000,16716704
2021-06-01,112.949997,115.650002,105.150002,111.400002,111.400002,10836677
2021-07-01,112.349998,130.000000,110.599998,126.199997,126.199997,8725365
2021-08-01,126.449997,132.850006,112.050003,122.599998,122.599998,10152987
2021-09-01,123.800003,134.949997,110.250000,110.449997,110.449997,9992438
2021-10-01,110.099998,114.599998,101.650002,114.599998,114.599998,6208866
2021-10-15,111.000000,114.599998,109.949997,114.599998,114.599998,425316
